Item,Type,Region1_Surprisal,Region2_Surprisal,Region3_Surprisal,Region4_Surprisal
1,Object-Subject-Inversion,7.667318,11.456085,5.400415,7.115708
1,Object-Topicalized,7.667318,8.818226,7.385539,7.88441
1,Subject,8.091349,13.600907,5.455677,8.185845
2,Object-Subject-Inversion,5.50465,10.943895,8.412727,14.110595
2,Object-Topicalized,5.50465,14.589001,7.184211,12.120356
2,Subject,2.887667,10.628051,7.765688,16.159831
3,Object-Subject-Inversion,7.27007,12.341029,7.346868,12.066675
3,Object-Topicalized,7.27007,10.331534,11.938223,13.769427
3,Subject,3.257122,11.932178,7.985484,13.358628
4,Object-Subject-Inversion,5.923477,11.996414,7.06441,11.937714
4,Object-Topicalized,5.923477,13.198896,11.450302,12.202305
4,Subject,3.602364,12.156721,8.481852,12.794655
5,Object-Subject-Inversion,7.741257,11.248797,11.81708,15.024346
5,Object-Topicalized,7.741257,21.779976,16.876119,13.858001
5,Subject,6.106395,14.242989,13.162092,15.531694
6,Object-Subject-Inversion,6.290773,14.557229,11.147372,8.565836
6,Object-Topicalized,6.290773,13.699363,9.463552,8.027175
6,Subject,4.091962,14.05536,10.663256,8.527771
7,Object-Subject-Inversion,5.467532,10.211186,7.664126,11.750194
7,Object-Topicalized,5.467532,13.279139,6.213478,12.981843
7,Subject,3.384604,13.562133,8.755022,11.5358
8,Object-Subject-Inversion,7.436787,10.46836,8.898602,13.609785
8,Object-Topicalized,7.436787,10.121229,7.984137,14.516168
8,Subject,6.176072,9.739142,6.514084,15.263586
9,Object-Subject-Inversion,8.213417,9.517161,6.311795,9.766488
9,Object-Topicalized,8.213417,10.782772,11.291998,10.96549
9,Subject,5.768159,8.040035,7.365643,11.490515
10,Object-Subject-Inversion,6.939539,10.982959,16.795243,10.418402
10,Object-Topicalized,6.939539,18.129365,8.536026,9.123528
10,Subject,4.873311,11.77449,16.753337,10.132547
11,Object-Subject-Inversion,5.721537,12.895592,7.942167,10.778292
11,Object-Topicalized,5.721537,11.456244,8.951651,11.883237
11,Subject,2.246708,12.654038,8.895175,11.101671
12,Object-Subject-Inversion,7.06012,6.62083,4.694669,11.705119
12,Object-Topicalized,7.06012,9.315199,8.736806,7.948563
12,Subject,5.150598,8.385917,4.633799,12.079378
13,Object-Subject-Inversion,6.398667,11.534855,6.687303,13.415742
13,Object-Topicalized,6.398667,9.378566,11.995099,11.998373
13,Subject,4.737557,9.177493,6.67434,13.318559
14,Object-Subject-Inversion,6.447564,8.169545,11.858205,11.117543
14,Object-Topicalized,6.447564,13.663833,8.417455,11.846154
14,Subject,5.986856,3.691995,10.504357,11.934324
15,Object-Subject-Inversion,5.941947,12.878073,8.668234,19.941581
15,Object-Topicalized,5.941947,12.334011,8.062151,17.474502
15,Subject,4.024095,11.426401,9.14254,19.587614
16,Object-Subject-Inversion,5.425626,11.365736,5.572584,11.263055
16,Object-Topicalized,5.425626,11.376187,7.423932,10.2799
16,Subject,2.321039,9.899204,5.483578,11.502709
17,Object-Subject-Inversion,6.95279,11.66833,6.359597,9.120356
17,Object-Topicalized,6.95279,14.02898,11.970455,9.369268
17,Subject,4.991399,8.830382,8.150927,10.977834
18,Object-Subject-Inversion,6.314023,11.410941,5.844483,14.119114
18,Object-Topicalized,6.314023,9.497091,6.999246,13.228396
18,Subject,3.856641,13.040582,4.586871,13.795249
19,Object-Subject-Inversion,6.25684,14.498977,10.995094,11.505361
19,Object-Topicalized,6.25684,13.379788,10.03786,12.293768
19,Subject,4.578084,14.28257,8.113821,11.182403
20,Object-Subject-Inversion,5.226723,9.516334,7.60033,11.300997
20,Object-Topicalized,5.226723,9.88542,9.392173,9.474835
20,Subject,2.231592,10.701612,7.265965,11.189337
