Country,Item,Text,Type,Region1,Region2,Region3,Region4,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,Region1_Surprisal,Region2_Surprisal,Region3_Surprisal,Region4_Surprisal
DelRio,1,El cadete que insultó al coronel estuvo en el calabozo.,Subject,3,4-5,6,7,8.230893,14.147748,8.091349,12.378655,1.222252,5.455677,8.185845,1.343892,1.914895,7.205461,,8.091349,13.600907,5.455677,8.185845
DelRio,1,El cadete al que el coronel insultó estuvo en el calabozo.,Object-Topicalized,3,5-6,7,8,8.230895,14.147759,7.667318,3.839842,4.273046,4.54518,7.385539,7.88441,1.644494,1.647995,7.899824,7.667318,8.818226,7.385539,7.88441
DelRio,1,El cadete al que insultó el coronel estuvo en el calabozo.,Object-Subject-Inversion,3,5-6,7,8,8.230895,14.147759,7.667318,3.839842,9.569783,1.886302,5.400415,7.115708,1.380116,1.642134,7.774924,7.667318,11.456085,5.400415,7.115708
DelRio,2,El sacerdote que rescató al muchacho nadaba en el río.,Subject,3,4-5,6,7,8.230895,12.961464,2.887667,7.984146,2.643905,7.765688,16.159831,1.090936,0.969529,1.096443,,2.887667,10.628051,7.765688,16.159831
DelRio,2,El sacerdote al que el muchacho rescató nadaba en el río.,Object-Topicalized,3,5-6,7,8,8.230895,12.961464,5.50465,3.685527,3.308557,11.280444,7.184211,12.120356,0.803026,0.863261,0.955415,5.50465,14.589001,7.184211,12.120356
DelRio,2,El sacerdote al que rescató el muchacho nadaba en el río.,Object-Subject-Inversion,3,5-6,7,8,8.230895,12.961464,5.50465,3.685527,9.260041,1.683854,8.412727,14.110595,1.066764,0.673404,0.891491,5.50465,10.943895,8.412727,14.110595
DelRio,3,El cantante que empujó al escritor conduce un coche rojo.,Subject,3,4-5,6,7,8.230895,10.814626,3.257122,9.934334,1.997844,7.985484,13.358628,2.57139,3.714985,5.827316,,3.257122,11.932178,7.985484,13.358628
DelRio,3,El cantante al que el escritor empujó conduce un coche rojo.,Object-Topicalized,3,5-6,7,8,8.230895,10.814626,7.27007,0.573787,3.777566,6.553968,11.938223,13.769427,1.768876,2.673428,5.932982,7.27007,10.331534,11.938223,13.769427
DelRio,3,El cantante al que empujó el escritor conduce un coche rojo.,Object-Subject-Inversion,3,5-6,7,8,8.230895,10.814626,7.27007,0.573787,10.389762,1.951267,7.346868,12.066675,2.206071,2.609074,5.413108,7.27007,12.341029,7.346868,12.066675
DelRio,4,El marinero que ofendió al concejal odia a los políticos.,Subject,3,4-5,6,7,8.230893,13.89292,3.602364,10.620836,1.535885,8.481852,12.794655,0.990284,1.119825,1.501739,,3.602364,12.156721,8.481852,12.794655
DelRio,4,El marinero al que el concejal ofendió odia a los políticos.,Object-Topicalized,3,5-6,7,8,8.230895,13.892916,5.923477,1.480728,3.614669,9.584227,11.450302,12.202305,0.874312,0.912981,1.210533,5.923477,13.198896,11.450302,12.202305
DelRio,4,El marinero al que ofendió el concejal odia a los políticos.,Object-Subject-Inversion,3,5-6,7,8,8.230895,13.892916,5.923477,1.480728,10.228281,1.768133,7.06441,11.937714,1.041672,1.166517,0.846997,5.923477,11.996414,7.06441,11.937714
DelRio,5,El joyero que delató al perista confiaba en la justicia.,Subject,3,4-5,6,7,8.230893,13.078892,6.106395,10.93536,3.307629,13.162092,15.531694,0.347246,1.973778,3.339394,,6.106395,14.242989,13.162092,15.531694
DelRio,5,El joyero al que el perista delató confiaba en la justicia.,Object-Topicalized,3,5-6,7,8,8.230895,13.078891,7.741257,4.332319,5.219095,16.560881,16.876119,13.858001,0.20184,1.958901,2.985687,7.741257,21.779976,16.876119,13.858001
DelRio,5,El joyero al que delató el perista confiaba en la justicia.,Object-Subject-Inversion,3,5-6,7,8,8.230895,13.078891,7.741257,4.332319,9.719985,1.528812,11.81708,15.024346,0.303382,2.01171,3.35247,7.741257,11.248797,11.81708,15.024346
DelRio,6,El político que elogiaba al ciclista tuvo un grave percance.,Subject,3,4-5,6,7,8.230893,12.236979,4.091962,11.609351,2.446009,10.663256,8.527771,2.43114,5.000984,3.771268,,4.091962,14.05536,10.663256,8.527771
