Country,Text,Translation,Type,Item,Region1,Region2,Region3,Region4,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,Region1_Surprisal,Region2_Surprisal,Region3_Surprisal,Region4_Surprisal
BCS,Conocían al atleta que venció finalmente al corredor el año pasado.,They knew the athlete that finally beat the runner last year.,SAA,1,5,6,7-8,9-11,25.93434,3.923189,8.187009,2.646522,7.708383,8.079336,2.014866,4.746993,6.71874,2.652614,0.291735,,,,7.708383,8.079336,6.761859,9.663089
BCS,Conocían la enfermedad que venció finalmente al corredor el año pasado.,They knew the illness that finally beat the runner last year.,SIA,1,5,6,7-8,9-11,25.93434,2.211078,4.789553,3.329822,10.767276,7.955942,2.070674,6.991517,6.760045,2.031257,0.100539,,,,10.767276,7.955942,9.062191,8.891841
BCS,Conocían al atleta que venció finalmente el corredor el año pasado.,They knew the athlete that the runner finally beat last year.,OAA,1,5,6,7-8,9-11,25.93434,3.923189,8.187009,2.646522,7.708383,8.079336,2.654403,6.257288,6.755196,3.453155,0.262029,,,,7.708383,8.079336,8.911691,10.47038
BCS,Conocían la enfermedad que venció finalmente el corredor el año pasado.,They knew the illness that the runner finally beat last year.,OIA,1,5,6,7-8,9-11,25.93434,2.211078,4.789553,3.329822,10.767276,7.955942,5.107514,6.133137,6.659318,2.398069,0.090838,,,,10.767276,7.955942,11.240651,9.148225
BCS,Antonio leyó al periodista que criticó duramente al escritor durante el certamen.,Antonio read to the journalist that harshly criticized the writer during the meeting.,SAA,2,6,7,8-9,10-11,10.914282,25.574988,4.801321,5.970889,3.367245,8.556326,4.212548,1.960451,6.48372,6.393632,1.890727,6.4986,,,8.556326,4.212548,8.444171,8.284359
BCS,Antonio leyó el artículo que criticó duramente al escritor durante el certamen.,Antonio read the article that harshly criticized the writer during the meeting.,SIA,2,6,7,8-9,10-11,10.914282,25.574988,1.996288,2.327124,3.988138,11.82831,5.138988,1.873167,5.489577,8.239186,1.91808,7.414069,,,11.82831,5.138988,7.362744,10.157266
BCS,Antonio leyó al periodista que criticó duramente el escritor durante el certamen.,Antonio read to the journalist that the writer harshly criticized during the meeting.,OAA,2,6,7,8-9,10-11,10.914282,25.574988,4.801321,5.970889,3.367245,8.556326,4.212548,2.834502,7.827364,6.178014,1.945241,6.747419,,,8.556326,4.212548,10.661866,8.123255
BCS,Antonio leyó el artículo que criticó duramente el escritor durante el certamen.,Antonio read the article that the writer harshly criticized during the meeting.,OIA,2,6,7,8-9,10-11,10.914282,25.574988,1.996288,2.327124,3.988138,11.82831,5.138988,2.425496,7.450804,8.527711,1.882554,7.86473,,,11.82831,5.138988,9.8763,10.410265
BCS,Aplaudieron al actor que llevó ese año al director a los óscars.,They applauded the actor that this year led the director to the Oscars.,SAA,3,5,6-7,8-9,10-12,26.057919,2.466897,4.301991,3.38484,5.633476,8.64926,5.339938,2.216761,6.300939,2.458789,2.768632,7.894825,,,5.633476,13.989198,8.5177,13.122246
BCS,Aplaudieron la película que llevó ese año al director a los óscars.,They applauded the film that this year led the director to the Oscars.,SIA,3,5,6-7,8-9,10-12,26.057919,1.905063,7.43045,3.615851,6.695878,7.84778,4.623189,2.027485,4.525091,2.225505,1.926472,7.800476,,,6.695878,12.470969,6.552576,11.952453
BCS,Aplaudieron al actor que llevó ese año el director a los óscars.,They applauded the actor that this year led the director to the Oscars.,OAA,3,5,6-7,8-9,10-12,26.057919,2.466897,4.301991,3.38484,5.633476,8.64926,5.339938,1.573271,9.646968,3.453342,3.016861,8.142162,,,5.633476,13.989198,11.220239,14.612365
BCS,Aplaudieron la película que llevó ese año el director a los óscars.,They applauded the film that the director this year led to the Oscars.,OIA,3,5,6-7,8-9,10-12,26.057919,1.905063,7.43045,3.615851,6.695878,7.84778,4.623189,0.883593,6.985409,3.29547,2.159048,7.524017,,,6.695878,12.470969,7.869002,12.978535
BCS,Conocían al abogado que ocultó premeditadamente al político del escándalo.,They knew the lawyer that with premeditation hid the politician from the scandal.,SAA,4,5,6,7-8,9-10,25.934336,3.923187,6.00139,2.469421,8.068462,12.638384,3.629597,7.009959,3.796773,6.381128,,,,,8.068462,12.638384,10.639556,10.177901
BCS,Conocían el informe que ocultó premeditadamente al político del escándalo.,They knew the report that with premeditation hid the politician from the scandal.,SIA,4,5,6,7-8,9-10,25.93434,2.318949,6.491311,3.017562,7.616958,15.15123,4.710347,8.188149,4.106147,9.465127,,,,,7.616958,15.15123,12.898496,13.571274
BCS,Conocían al abogado que ocultó premeditadamente el político del escándalo.,They knew the lawyer that with premeditation hid the politician from the scandal.,OAA,4,5,6,7-8,9-10,25.934336,3.923187,6.00139,2.469421,8.068462,12.638384,1.79506,13.614819,3.717558,6.377291,,,,,8.068462,12.638384,15.409879,10.094849
BCS,Conocían el informe que ocultó premeditadamente el político del escándalo.,They knew the report that with premeditation hid the politician from the scandal.,OIA,4,5,6,7-8,9-10,25.93434,2.318949,6.491311,3.017562,7.616958,15.15123,1.062555,9.212111,3.808057,10.368174,,,,,7.616958,15.15123,10.274666,14.176231
BCS,Los socios vieron al contable que censuró duramente al director en la junta.,The associates saw the accountant that harshly censured the director in the meeting.,SAA,5,7,8,9-10,11-13,9.249119,11.502193,11.554227,4.688031,8.896747,3.802458,11.935482,7.797244,1.837049,3.035813,3.378836,1.471686,2.291454,,11.935482,7.797244,4.872862,7.141976
BCS,Los socios vieron el documento que censuró duramente al director en la junta.,The associates saw the document that harshly censured the director in the meeting.,SIA,5,7,8,9-10,11-13,9.249119,11.502193,11.554227,2.270875,5.216635,3.01976,9.831746,9.617011,1.779926,5.459683,4.816012,3.140808,5.169403,,9.831746,9.617011,7.239609,13.126223
BCS,Los socios vieron al contable que censuró duramente el director en la junta.,The associates saw the accountant that the director harshly censured in the meeting.,OAA,5,7,8,9-10,11-13,9.249119,11.502193,11.554227,4.688031,8.896747,3.802458,11.935482,7.797244,2.403114,6.894006,3.895812,1.572261,2.765861,,11.935482,7.797244,9.29712,8.233934
