Item,Type,Region1_Surprisal,Region2_Surprisal,Region3_Surprisal
1,fullNP_OSV,26.423862,10.056415,14.240884
1,fullNP_OVS,25.127205,8.151222,14.028131
1,proNP_OSV,17.796467,8.737133,15.80656
1,proNP_OVS,24.496126,9.326382,15.058177
2,fullNP_OSV,23.038416,8.282007,16.800504
2,fullNP_OVS,27.494266,9.515839,14.101905
2,proNP_OSV,15.011576,6.464219,17.238665
2,proNP_OVS,17.910682,6.582028,14.445387
3,fullNP_OSV,24.549833,9.337108,15.944661
3,fullNP_OVS,29.123623,9.291371,16.64911
3,proNP_OSV,20.757328,10.530177,13.448664
3,proNP_OVS,25.351755,8.655143,13.768078
4,fullNP_OSV,26.700419,11.16836,14.311843
4,fullNP_OVS,23.369331,3.565361,13.03054
4,proNP_OSV,22.396941,10.285902,17.19118
4,proNP_OVS,27.594272,9.535828,15.17087
5,fullNP_OSV,30.38994,15.222633,15.021366
5,fullNP_OVS,25.212912,7.226613,13.342122
5,proNP_OSV,21.948207,10.993689,10.157583
5,proNP_OVS,22.532496,9.628995,11.95437
6,fullNP_OSV,23.028902,10.64265,4.66921
6,fullNP_OVS,22.364733,4.489163,6.634443
6,proNP_OSV,20.497935,9.607178,4.924386
6,proNP_OVS,22.818125,7.203326,6.987948
7,fullNP_OSV,33.10867,9.221644,14.254236
7,fullNP_OVS,29.876563,10.097034,13.371196
7,proNP_OSV,18.129929,6.85889,14.176383
7,proNP_OVS,24.056872,9.521414,13.894897
8,fullNP_OSV,24.507794,3.769521,13.016089
8,fullNP_OVS,24.905467,11.08196,14.107069
8,proNP_OSV,16.34369,5.788062,15.807638
8,proNP_OVS,19.221444,8.447765,17.87836
9,fullNP_OSV,29.973333,10.760478,11.069161
9,fullNP_OVS,27.890771,10.557696,11.038626
9,proNP_OSV,22.801026,10.219737,4.049479
9,proNP_OVS,22.492366,9.386022,4.059748
10,fullNP_OSV,25.670396,10.986183,17.283891
10,fullNP_OVS,22.870679,5.275259,18.947672
10,proNP_OSV,25.524554,14.483083,14.776056
10,proNP_OVS,26.221063,9.036799,16.401213
11,fullNP_OSV,19.986159,8.905626,11.856527
11,fullNP_OVS,18.069292,5.665632,12.898675
11,proNP_OSV,17.302093,6.421174,11.170831
11,proNP_OVS,21.909993,9.635889,13.046425
12,fullNP_OSV,17.04193,5.384397,9.166783
12,fullNP_OVS,16.862298,3.592204,8.973949
12,proNP_OSV,19.098337,8.15645,3.857193
12,proNP_OVS,19.947986,7.3387,8.10938
