"order","item","answer","nwds","init","w1","w2","w3","w4","w5","w6","w7","w8","w9","w10","w11","w12","w13","w14","w15","w16","w17","w18","w19","w20","w21","w22","w23","w24","w25","w26","w27","w28","w29","total","id","block","cond","acierto"
1,7,1,10,837,494,626,425,774,669,770,634,477,577,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7448,1,1,"sr",1
2,13,2,10,634,470,567,426,530,372,536,1201,606,501,2656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8499,1,1,"sr",1
3,20,2,11,992,436,772,903,678,628,1138,542,1441,576,565,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10111,1,1,"tor",1
4,38,1,12,649,425,880,539,914,420,988,466,660,530,460,547,1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8785,1,1,"filler",1
5,12,2,11,570,394,669,396,472,667,533,996,704,537,636,911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7485,1,1,"orsi",1
6,16,2,10,536,576,746,603,954,1161,1439,855,635,390,778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8673,1,1,"sr",1
7,24,2,9,598,490,536,1333,724,1451,529,539,439,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7483,1,1,"filler",1
8,40,2,12,542,390,390,679,426,576,597,603,512,781,432,844,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8140,1,1,"filler",1
9,32,2,12,373,602,1649,784,493,641,1370,620,468,395,536,493,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9234,1,1,"filler",1
10,5,1,11,469,332,1340,600,600,496,816,671,984,1621,676,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9415,1,1,"tor",1
11,3,2,11,430,445,741,565,1126,723,472,750,675,844,657,3787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11215,1,1,"orsi",1
12,37,2,12,537,459,354,424,531,435,493,998,1371,1300,703,496,2840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10941,1,1,"filler",1
13,9,2,11,377,389,360,465,514,776,683,2245,462,812,533,2841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10457,1,1,"orsi",1
14,36,1,11,367,355,496,530,1335,1159,566,437,531,472,526,811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7585,1,1,"filler",1
15,35,2,12,540,388,985,405,710,883,1406,1209,424,397,767,427,1751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10292,1,1,"filler",0
16,33,2,11,1394,401,530,1481,459,1506,850,458,460,390,429,5036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13394,1,1,"filler",1
17,6,1,11,573,349,365,537,432,1001,816,1358,459,425,459,1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8713,1,1,"orsi",1
18,10,2,10,451,322,430,495,564,747,1719,525,436,741,985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7415,1,1,"sr",0
19,17,2,11,367,1887,1149,531,735,564,2185,2729,675,473,650,1575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13520,1,1,"tor",1
20,34,2,7,432,420,588,396,529,535,493,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4272,1,1,"filler",1
21,29,1,11,513,2106,1403,846,855,703,595,494,609,501,472,846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9943,1,1,"filler",1
22,4,1,10,532,599,653,1401,459,676,1962,521,949,780,1721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10253,1,1,"sr",1
23,2,1,11,367,387,400,528,403,461,844,2098,1067,2180,845,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10284,1,1,"tor",1
24,11,2,11,635,612,531,500,424,423,1625,879,600,495,474,2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9238,1,1,"tor",1
25,23,2,10,430,425,394,541,887,776,780,366,492,715,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6556,1,1,"filler",1
26,27,1,11,394,394,529,1586,646,387,391,743,584,706,454,2320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9134,1,1,"filler",1
27,26,2,10,473,594,678,541,874,430,528,605,715,704,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6882,1,1,"filler",1
28,30,2,10,368,355,504,459,709,882,1025,459,957,648,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6936,1,1,"filler",0
29,8,1,11,375,423,495,429,562,614,888,3403,576,439,470,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9151,1,1,"tor",1
30,21,2,11,478,430,437,607,465,469,599,454,576,712,672,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6463,1,1,"filler",1
31,39,2,11,360,334,425,432,353,425,495,394,538,390,461,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5067,1,1,"filler",1
32,31,1,11,298,389,426,426,632,855,454,466,459,455,462,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5834,1,1,"filler",1
33,18,1,11,326,327,444,530,597,1124,425,1159,2355,399,471,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8717,1,1,"orsi",0
34,15,1,11,328,352,706,463,841,629,382,742,495,670,459,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6771,1,1,"orsi",1
35,25,1,11,298,338,357,459,449,396,390,529,427,501,391,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5065,1,1,"filler",1
36,19,2,10,325,391,425,542,676,1018,425,580,648,635,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554,1,1,"sr",1
37,14,2,11,378,426,565,363,501,1509,429,900,576,392,570,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7003,1,1,"tor",1
38,22,2,8,323,343,651,389,465,430,740,394,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4158,1,1,"filler",0
39,28,2,8,441,497,360,538,636,599,670,495,1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5320,1,1,"filler",1
40,1,1,10,297,362,334,539,675,534,1088,426,464,817,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6064,1,1,"sr",1
1,3,2,11,717,499,433,423,371,426,391,403,438,431,422,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5383,2,1,"orsi",1
2,27,1,11,478,391,391,463,666,394,395,409,426,427,395,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5226,2,1,"filler",1
3,26,2,10,429,390,394,361,466,457,394,396,392,397,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4475,2,1,"filler",1
4,15,2,11,359,320,393,432,355,457,400,1173,426,423,434,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5848,2,1,"orsi",0
5,40,2,12,442,360,389,463,356,460,469,395,424,405,424,426,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6241,2,1,"filler",1
6,30,1,10,395,532,368,390,387,465,464,475,493,440,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5050,2,1,"filler",1
7,6,2,11,431,452,399,362,356,472,463,399,502,423,439,985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5683,2,1,"orsi",0
8,20,2,11,399,500,423,442,463,528,500,495,599,439,466,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6004,2,1,"tor",1
9,1,1,10,328,423,400,471,888,459,509,566,424,369,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5403,2,1,"sr",1
10,28,2,8,364,439,426,429,397,462,424,390,805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4136,2,1,"filler",1
11,12,2,11,357,391,394,397,433,424,402,912,495,423,391,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6003,2,1,"orsi",1
12,21,2,11,367,368,466,466,478,385,472,402,432,456,426,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5365,2,1,"filler",1
13,25,1,11,459,390,424,408,438,537,456,424,397,462,425,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5484,2,1,"filler",1
14,36,1,11,533,390,460,400,453,369,426,424,423,409,436,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5207,2,1,"filler",1
15,17,2,11,408,397,426,421,430,460,432,466,438,462,548,717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5605,2,1,"tor",1
16,5,1,11,361,433,456,389,456,437,502,1299,500,433,600,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6359,2,1,"tor",1
17,22,1,8,373,438,466,368,425,431,427,396,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3763,2,1,"filler",1
18,38,1,12,360,359,395,505,423,421,429,440,390,426,393,437,817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5795,2,1,"filler",1
19,35,1,12,367,397,390,493,564,465,424,637,398,430,438,390,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5784,2,1,"filler",1
20,13,2,10,324,432,426,390,438,425,716,510,528,394,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5137,2,1,"sr",1
21,14,1,11,474,424,468,431,424,500,496,472,771,460,432,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5879,2,1,"tor",0
22,37,2,12,361,399,391,425,417,461,424,425,456,527,439,460,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5609,2,1,"filler",1
23,39,2,11,747,332,427,423,532,527,594,536,534,494,472,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6075,2,1,"filler",1
24,32,2,12,293,391,405,405,393,741,741,502,545,457,497,504,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6274,2,1,"filler",1
25,7,1,10,334,387,475,489,469,496,560,563,424,461,1229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5887,2,1,"sr",1
26,34,2,7,534,403,425,435,431,413,425,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3495,2,1,"filler",1
27,18,2,11,370,400,462,461,424,463,467,1271,667,389,530,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6614,2,1,"orsi",1
28,10,1,10,289,354,508,491,460,432,682,493,354,547,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5558,2,1,"sr",1
29,19,2,10,335,402,473,467,460,460,810,425,463,540,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5369,2,1,"sr",1
30,33,2,11,394,370,396,458,453,530,435,425,389,429,390,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5209,2,1,"filler",1
31,31,1,11,365,332,502,788,611,359,360,396,397,355,389,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5248,2,1,"filler",1
32,29,1,11,303,367,423,471,425,421,422,395,404,460,394,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4880,2,1,"filler",1
33,8,1,11,333,358,399,406,426,422,459,425,463,561,495,985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5732,2,1,"tor",1
34,23,2,10,334,360,423,394,406,389,420,432,423,429,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500,2,1,"filler",1
35,2,1,11,303,391,399,424,362,432,391,396,502,367,396,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5336,2,1,"tor",1
36,9,1,11,334,359,460,391,387,395,390,425,389,459,390,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5004,2,1,"orsi",0
37,16,1,10,298,370,463,425,424,470,849,504,396,425,947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5571,2,1,"sr",0
38,24,2,9,257,353,350,394,389,425,819,529,357,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4438,2,1,"filler",1
39,11,2,11,327,333,391,394,389,437,396,426,460,459,425,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4901,2,1,"tor",1
40,4,1,10,320,333,373,347,389,404,389,460,360,423,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4724,2,1,"sr",1
1,29,1,11,725,331,389,393,1062,325,458,399,355,338,297,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6133,3,1,"filler",1
2,14,2,11,395,599,460,389,575,388,742,1294,389,320,288,3657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9496,3,1,"tor",1
3,27,1,11,304,425,775,739,350,423,355,341,611,642,361,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5862,3,1,"filler",1
4,37,2,12,289,355,530,634,365,740,358,770,883,354,572,324,1751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7925,3,1,"filler",1
5,38,1,12,273,356,533,384,469,402,638,358,356,594,356,389,1259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6367,3,1,"filler",1
6,7,1,10,258,320,406,327,354,365,914,385,424,3716,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8209,3,1,"sr",1
7,31,1,11,290,329,599,420,355,463,355,355,340,373,368,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5126,3,1,"filler",1
8,34,2,7,195,367,566,308,355,355,367,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3333,3,1,"filler",1
9,5,1,11,442,362,537,365,501,421,533,706,570,353,393,1760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6943,3,1,"tor",1
10,12,1,11,219,314,250,390,319,368,531,529,494,399,350,6078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10241,3,1,"orsi",0
11,16,2,10,224,319,774,326,362,350,1055,5000,314,300,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9834,3,1,"sr",1
12,22,1,8,184,413,361,388,426,287,361,320,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3380,3,1,"filler",1
13,39,2,11,181,360,425,1131,274,566,320,399,360,420,318,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5534,3,1,"filler",1
14,23,2,10,233,361,870,299,509,322,283,528,496,323,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4935,3,1,"filler",1
15,17,2,11,407,507,424,435,295,354,530,1020,388,334,331,2109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7134,3,1,"tor",1
16,20,2,11,231,364,495,319,355,319,808,670,1335,349,426,1403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7074,3,1,"tor",1
17,36,1,11,219,283,390,328,501,325,367,605,331,478,390,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4817,3,1,"filler",1
18,21,2,11,222,286,704,260,1191,530,578,647,332,739,344,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6849,3,1,"filler",1
19,9,2,11,182,330,599,284,925,705,418,4032,542,687,605,1572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10881,3,1,"orsi",1
20,10,1,10,192,304,430,326,597,365,885,389,425,298,1331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5542,3,1,"sr",1
21,1,1,10,187,322,459,355,950,389,2740,292,326,319,1026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7365,3,1,"sr",1
22,32,2,12,185,574,536,323,360,634,354,602,844,355,296,425,1451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6939,3,1,"filler",1
23,8,1,11,163,296,468,355,354,354,669,1915,740,253,975,4614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11156,3,1,"tor",1
24,35,1,12,221,390,334,365,614,395,354,566,460,353,360,372,1376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6160,3,1,"filler",1
25,13,2,10,219,359,496,536,527,406,956,879,632,673,1342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7025,3,1,"sr",1
26,19,2,10,149,390,495,320,536,362,670,2966,826,456,2555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9725,3,1,"sr",1
27,3,2,11,223,314,403,360,336,815,393,5699,435,355,329,742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10404,3,1,"orsi",1
28,33,2,11,186,326,355,432,353,389,355,605,506,361,325,1547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5740,3,1,"filler",1
29,30,1,10,160,354,384,355,332,531,355,426,1101,317,1448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5763,3,1,"filler",1
30,25,1,11,259,365,607,454,543,413,531,389,384,483,326,1334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6088,3,1,"filler",1
31,24,2,9,222,352,355,459,384,461,360,498,286,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4011,3,1,"filler",1
32,28,2,8,185,362,401,355,389,362,361,297,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3276,3,1,"filler",1
33,2,1,11,149,358,639,401,403,390,641,949,389,321,355,1713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6708,3,1,"tor",1
34,6,1,11,187,362,387,355,288,367,355,922,548,296,309,4406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8782,3,1,"orsi",1
35,4,1,10,121,296,400,320,319,355,670,401,366,542,2495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6285,3,1,"sr",1
36,26,2,10,184,423,533,338,461,355,420,372,402,425,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4617,3,1,"filler",1
37,40,2,12,122,455,407,353,463,408,646,355,390,1067,425,384,1446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6921,3,1,"filler",1
38,11,2,11,234,319,677,392,384,669,3811,283,1797,670,1132,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11038,3,1,"tor",1
39,18,2,11,191,332,494,389,405,560,355,711,388,355,353,2175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6708,3,1,"orsi",1
40,15,1,11,494,295,388,541,353,355,610,1341,1445,1162,324,1725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9033,3,1,"orsi",1
1,34,2,7,772,494,469,433,424,577,431,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4443,4,1,"filler",1
2,31,1,11,464,433,461,459,426,466,457,424,461,459,472,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5443,4,1,"filler",1
3,26,2,10,393,530,509,470,748,471,495,440,462,461,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5437,4,1,"filler",1
4,35,1,12,396,397,461,390,466,463,425,495,506,425,438,529,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6342,4,1,"filler",1
5,20,2,11,393,402,496,465,426,388,439,490,542,423,399,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5293,4,1,"tor",1
6,27,1,11,408,469,469,424,475,460,425,472,466,753,426,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5704,4,1,"filler",1
7,39,2,11,437,425,503,431,461,494,423,433,462,423,424,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5342,4,1,"filler",1
8,1,1,10,499,425,505,459,469,442,466,632,435,402,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5261,4,1,"sr",1
9,32,2,12,403,403,463,459,460,494,426,425,488,463,451,579,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6009,4,1,"filler",1
10,24,2,9,365,423,421,388,405,466,498,430,403,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4268,4,1,"filler",1
11,10,1,10,400,428,474,472,466,466,506,599,540,433,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5189,4,1,"sr",1
12,21,2,11,393,423,420,466,498,441,459,439,426,458,390,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5294,4,1,"filler",1
13,16,2,10,388,402,602,460,459,432,983,679,521,494,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5990,4,1,"sr",1
14,7,1,10,368,390,472,426,477,462,424,456,468,463,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4884,4,1,"sr",1
15,6,1,11,362,426,460,402,417,435,460,459,469,429,432,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5314,4,1,"orsi",1
16,36,1,11,375,424,495,399,432,423,434,431,458,395,394,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5120,4,1,"filler",1
17,15,1,11,370,397,436,455,424,403,403,423,495,425,395,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5015,4,1,"orsi",1
18,28,2,8,362,391,421,384,390,405,393,397,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3562,4,1,"filler",1
19,2,2,11,329,389,390,391,419,399,389,426,1469,389,355,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5742,4,1,"tor",0
20,23,2,10,334,414,432,394,439,402,421,395,396,388,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4475,4,1,"filler",1
21,3,2,11,324,424,399,390,373,367,403,425,419,384,393,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4718,4,1,"orsi",1
