Country,Item,Text,Type,Region1,Region2,Region3,Region4,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,Region1_Surprisal,Region2_Surprisal,Region3_Surprisal,Region4_Surprisal
DelRio,1,El cadete que insultó al coronel estuvo en el calabozo.,Subject,3,4-5,6,7,8.349777,15.099547,4.858651,9.769137,1.1599,7.298091,7.495176,1.327125,2.16926,6.799169,,4.858651,10.929037,7.298091,7.495176
DelRio,1,El cadete al que el coronel insultó estuvo en el calabozo.,Object-Topicalized,3,5-6,7,8,8.349777,15.099547,5.909127,4.580869,3.309951,5.065782,9.024615,6.838896,1.50758,1.474098,8.043765,5.909127,8.375733,9.024615,6.838896
DelRio,1,El cadete al que insultó el coronel estuvo en el calabozo.,Object-Subject-Inversion,3,5-6,7,8,8.349777,15.099547,5.909127,4.580869,9.390138,2.115728,7.301979,7.409071,1.381706,1.65016,7.76997,5.909127,11.505866,7.301979,7.409071
DelRio,2,El sacerdote que rescató al muchacho nadaba en el río.,Subject,3,4-5,6,7,8.349777,11.775103,3.448764,6.966079,2.660537,7.676885,17.64269,1.077231,0.89458,0.804028,,3.448764,9.626616,7.676885,17.64269
DelRio,2,El sacerdote al que el muchacho rescató nadaba en el río.,Object-Topicalized,3,5-6,7,8,8.349781,11.775091,5.801141,2.384412,2.894186,10.194964,8.051862,16.330109,0.799308,0.759888,1.082792,5.801141,13.08915,8.051862,16.330109
DelRio,2,El sacerdote al que rescató el muchacho nadaba en el río.,Object-Subject-Inversion,3,5-6,7,8,8.349781,11.775091,5.801141,2.384412,8.445951,2.962789,8.437601,16.958409,0.9855,0.807534,0.984246,5.801141,11.40874,8.437601,16.958409
DelRio,3,El cantante que empujó al escritor conduce un coche rojo.,Subject,3,4-5,6,7,8.349777,10.430306,5.584178,9.170048,1.917365,7.604886,13.359717,2.295215,6.083434,4.371044,,5.584178,11.087413,7.604886,13.359717
DelRio,3,El cantante al que el escritor empujó conduce un coche rojo.,Object-Topicalized,3,5-6,7,8,8.349781,10.430317,6.659653,2.93554,3.238009,7.484095,13.512675,12.591683,1.993858,6.215569,4.443093,6.659653,10.722104,13.512675,12.591683
DelRio,3,El cantante al que empujó el escritor conduce un coche rojo.,Object-Subject-Inversion,3,5-6,7,8,8.349781,10.430317,6.659653,2.93554,10.359305,2.274921,7.550385,13.383204,2.352669,7.278909,4.929014,6.659653,12.634226,7.550385,13.383204
DelRio,4,El marinero que ofendió al concejal odia a los políticos.,Subject,3,4-5,6,7,8.349777,13.670865,3.772399,9.452748,1.459902,7.361596,14.290099,1.21184,1.31024,2.875007,,3.772399,10.91265,7.361596,14.290099
DelRio,4,El marinero al que el concejal ofendió odia a los políticos.,Object-Topicalized,3,5-6,7,8,8.349777,13.670865,6.206623,3.933774,3.45314,10.208657,10.914328,12.129933,1.332167,1.463818,2.873177,6.206623,13.661797,10.914328,12.129933
DelRio,4,El marinero al que ofendió el concejal odia a los políticos.,Object-Subject-Inversion,3,5-6,7,8,8.349777,13.670865,6.206623,3.933774,9.680603,1.358809,7.596439,14.830775,1.333136,1.364414,2.303715,6.206623,11.039412,7.596439,14.830775
DelRio,5,El joyero que delató al perista confiaba en la justicia.,Subject,3,4-5,6,7,8.349777,13.876497,5.215019,10.909498,2.431302,15.914827,12.840146,0.183441,1.914353,0.778945,,5.215019,13.3408,15.914827,12.840146
