Country,Text,Translation,Type,Item,Scene,Region1,Region2,Region3,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,Region1_Surprisal,Region2_Surprisal,Region3_Surprisal
reali,La araña que persiguieron los sapos comió la mosca,The spider that the frogs chased ate the fly,fullNP_OVS,1,1,4-6,6,7,8.360271,12.02245,3.687862,13.754208,1.795722,6.391877,11.748995,3.70678,2.898259,,,,21.941807,6.391877,11.748995
reali,La araña que los sapos persiguieron comió la mosca,The spider that the frogs chased ate the fly,fullNP_OSV,1,1,4-6,6,7,8.360271,12.02245,3.687862,6.778267,6.948735,8.211789,11.108342,3.591175,3.323352,,,,21.938791,8.211789,11.108342
reali,La araña que nosotros perseguimos comió la mosca,The spider that we chased ate the fly,proNP_OSV,1,1,4-5,5,6,8.360272,12.022439,3.68786,10.030232,8.346121,15.073823,2.352599,2.599387,,,,,18.376353,8.346121,15.073823
reali,La araña que perseguimos nosotros comió la mosca,The spider that we chased ate the fly,proNP_OVS,1,1,4-5,5,6,8.360272,12.022439,3.68786,11.444062,9.627102,15.614546,2.576165,3.093517,,,,,21.071164,9.627102,15.614546
reali,El gobernador que llamaron los secretarios defraudó al embajador,The governor that the secretaries called let down the ambassador.,fullNP_OVS,2,2,4-6,6,7,8.349777,9.98291,8.418823,10.88743,4.378582,10.612064,12.640871,1.973607,10.654593,,,,25.878076,10.612064,12.640871
reali,El gobernador que los secretarios llamaron defraudó al embajador,The governor that the secretaries called let down the ambassador.,fullNP_OSV,2,2,4-6,6,7,8.349777,9.98291,8.418823,4.709462,9.921761,6.626466,15.545823,1.791474,10.893568,,,,21.257689,6.626466,15.545823
reali,El gobernador que nosotros llamamos defraudó al embajador,The governor that we called let down the ambassador,proNP_OSV,2,2,4-5,5,6,8.349783,9.982914,8.418808,8.46817,4.920733,15.357585,1.643773,10.833799,,,,,13.388903,4.920733,15.357585
reali,El gobernador que llamamos nosotros defraudó al embajador,The governor that we called let down the ambassador,proNP_OVS,2,2,4-5,5,6,8.349783,9.982914,8.418808,10.993225,9.411135,12.412105,1.695719,10.607959,,,,,20.40436,9.411135,12.412105
reali,El panadero que felicitaron los carniceros odiaba al alcalde,The baker that the butchers praised hated the mayor.,fullNP_OVS,3,3,4-6,6,7,8.349777,15.249196,5.77286,15.831998,5.648012,9.107511,17.558299,2.704497,4.57342,,,,30.587521,9.107511,17.558299
reali,El panadero que los carniceros felicitaron odiaba al alcalde,The baker that the butchers praised hated the mayor.,fullNP_OSV,3,3,4-6,6,7,8.349777,15.249196,5.77286,5.693318,11.30557,10.863095,16.497909,2.577914,4.18897,,,,27.861983,10.863095,16.497909
reali,El panadero que nosotros felicitamos odiaba al alcalde,The baker that we praised hated the mayor,proNP_OSV,3,3,4-5,5,6,8.349783,15.249202,5.772851,9.72568,12.017644,12.809437,2.538639,5.503007,,,,,21.743324,12.017644,12.809437
reali,El panadero que felicitamos nosotros odiaba al alcalde,The baker that we praised hated the mayor,proNP_OVS,3,3,4-5,5,6,8.349783,15.249202,5.772851,16.890115,8.973454,13.558773,2.416698,5.451137,,,,,25.863569,8.973454,13.558773
reali,La ardilla que asustaron los niños devoró la nuez,The squirrel that the children scared devoured the nut,fullNP_OVS,4,4,4-6,6,7,8.360271,11.446526,4.574142,15.305753,2.584638,3.090697,12.781852,3.006458,6.423074,,,,20.981088,3.090697,12.781852
reali,La ardilla que los niños asustaron devoró la nuez,The squirrel that the children scared devoured the nut,fullNP_OSV,4,4,4-6,6,7,8.360271,11.446526,4.574142,7.121367,2.726707,6.614665,14.445145,3.117836,7.1464,,,,16.462739,6.614665,14.445145
reali,La ardilla que nosotros asustamos devoró la nuez,The squirrel that we scared off devoured the nut,proNP_OSV,4,4,4-5,5,6,8.360272,11.446527,4.574143,11.458106,9.725846,13.451878,2.525258,6.576561,,,,,21.183952,9.725846,13.451878
reali,La ardilla que asustamos nosotros devoró la nuez,The squirrel that we scared off devoured the nut,proNP_OVS,4,4,4-5,5,6,8.360272,11.446527,4.574143,16.089155,9.26295,12.713684,2.57969,5.664689,,,,,25.352105,9.26295,12.713684
reali,El perro que temían las palomas mordió a la niña pequeña,The dog that the pigeons feared bit the little girl,fullNP_OVS,5,5,4-6,6,7,8.349777,10.971816,3.109354,11.85246,3.312999,6.775429,13.41614,0.880058,1.840573,3.733855,6.596643,,21.940888,6.775429,13.41614
reali,El perro que las palomas temí­an mordió a la niña pequeña,The dog that the pigeons feared bit the little girl,fullNP_OSV,5,5,4-6,6,7,8.349781,10.971822,3.109352,6.879395,7.535306,14.358515,11.722358,0.713019,2.16236,3.087836,6.262631,,28.773216,14.358515,11.722358
reali,El perro que nosotros temíamos mordió a la niña pequeña,The dog that we feared bit the little girl,proNP_OSV,5,5,4-5,5,6,8.349777,10.971816,3.109354,10.234049,8.738669,11.37726,0.676053,2.154903,2.308527,5.889622,,,18.972718,8.738669,11.37726
reali,El perro que temíamos nosotros mordió a la niña pequeña,The dog that we feared bit the little girl,proNP_OVS,5,5,4-5,5,6,8.349777,10.971816,3.109354,11.393611,10.580035,8.892931,0.605117,1.788472,2.694802,6.085814,,,21.973646,10.580035,8.892931
reali,El detective que contactaron los abogados dijo la verdad,The detective that the lawyers contacted told the truth,fullNP_OVS,6,6,4-6,6,7,8.349784,11.606337,3.540726,15.718769,2.448198,4.651832,5.257498,6.165152,2.107541,,,,22.818799,4.651832,5.257498
reali,El detective que los abogados contactaron dijo la verdad,The detective that the lawyers contacted told the truth,fullNP_OSV,6,6,4-6,6,7,8.349784,11.606337,3.540726,5.362457,7.816203,8.852785,4.614124,6.138059,1.875564,,,,22.031445,8.852785,4.614124
reali,El detective que nosotros contactamos dijo la verdad,,proNP_OSV,6,6,4-5,5,6,8.349784,11.606337,3.540726,9.625505,8.612367,5.800871,6.17634,0.84765,,,,,18.237872,8.612367,5.800871
reali,El detective que contactamos nosotros dijo la verdad,,proNP_OVS,6,6,4-5,5,6,8.349784,11.606337,3.540726,14.441444,7.408987,6.507751,6.028005,0.957417,,,,,21.850431,7.408987,6.507751
reali,El funcionario que ayudaron las recepcionistas admiraba mucho a su jefe,The employer that the receptionists helped admired his boss a lot.,fullNP_OVS,7,7,4-6,6,7,8.349777,12.264279,3.624407,13.678462,4.439383,9.804484,15.716363,4.165876,1.062844,1.632431,2.001608,,27.922329,9.804484,15.716363
reali,El funcionario que las recepcionistas ayudaron admiraba mucho a su jefe,The employer that the receptionists helped admired his boss a lot.,fullNP_OSV,7,7,4-6,6,7,8.349777,12.264279,3.624407,6.5962,10.500221,8.57876,14.479219,3.596132,0.700968,1.776893,2.221408,,25.675181,8.57876,14.479219
reali,El funcionario que nosotros ayudamos admiraba mucho a su jefe,,proNP_OSV,7,7,4-5,5,6,8.349784,12.264292,3.624398,11.492077,6.357428,13.40149,2.699579,0.865676,1.793596,2.030792,,,17.849505,6.357428,13.40149
reali,El funcionario que ayudamos nosotros admiraba mucho a su jefe,,proNP_OVS,7,7,4-5,5,6,8.349784,12.264292,3.624398,14.896642,8.933763,13.265975,2.603062,0.996038,2.765771,2.659906,,,23.830405,8.933763,13.265975
