Item,Type,Region1_Surprisal,Region2_Surprisal,Region3_Surprisal,Region4_Surprisal
1,Object-Subject-Inversion,6.741486,15.606398,8.290045,8.771569
1,Object-Topicalized,6.741486,13.677729,13.705745,10.25733
1,Subject,7.48758,14.815906,7.391483,8.323132
2,Object-Subject-Inversion,7.325768,17.202628,11.638693,13.558099
2,Object-Topicalized,7.325768,16.528831,16.30688,13.303699
2,Subject,7.710533,19.309951,12.602617,13.731513
3,Object-Subject-Inversion,7.7779,22.30228,9.473439,10.614367
3,Object-Topicalized,7.7779,13.352633,18.554673,8.717728
3,Subject,9.861884,24.093837,9.938025,10.42524
4,Object-Subject-Inversion,7.168499,29.473377,12.099066,12.902503
4,Object-Topicalized,7.168499,15.769646,20.93369,12.601625
4,Subject,7.180218,31.828862,13.480407,12.802035
5,Object-Subject-Inversion,7.671761,25.573276,15.390915,19.236259
5,Object-Topicalized,7.671761,20.936067,16.666049,19.959368
5,Subject,7.253792,26.369867,16.571754,19.38808
6,Object-Subject-Inversion,6.943431,19.9715,11.261521,8.475099
6,Object-Topicalized,6.943431,14.409369,16.312887,7.622874
6,Subject,6.9864,21.514656,9.885098,8.640192
7,Object-Subject-Inversion,8.198694,30.91214,9.005862,17.16155
7,Object-Topicalized,8.198694,13.20589,23.715006,18.943172
7,Subject,9.399866,31.331388,11.346713,17.59537
8,Object-Subject-Inversion,8.512279,12.541721,10.163566,13.102975
8,Object-Topicalized,8.512279,15.506457,9.512169,13.805568
8,Subject,10.002513,13.508435,10.244106,13.044648
9,Object-Subject-Inversion,6.359035,7.97002,13.594932,11.108809
9,Object-Topicalized,6.359035,25.765706,8.819049,10.821638
9,Subject,2.898097,8.831711,13.42539,9.316549
10,Object-Subject-Inversion,7.605039,15.678214,23.282091,10.529419
10,Object-Topicalized,7.605039,28.88064,12.201595,9.210203
10,Subject,5.796445,17.40277,23.333358,10.353455
11,Object-Subject-Inversion,8.739651,16.659996,9.99434,12.017277
11,Object-Topicalized,8.739651,15.07881,12.783576,11.362186
11,Subject,10.025784,17.548822,9.811266,12.052632
12,Object-Subject-Inversion,8.068602,21.00997,11.892828,14.01118
12,Object-Topicalized,8.068602,16.091037,16.238616,13.953701
12,Subject,8.83032,21.496799,13.278977,13.646343
13,Object-Subject-Inversion,7.000924,13.997399,9.627945,9.880651
13,Object-Topicalized,7.000924,13.635324,10.557947,10.745379
13,Subject,7.664986,14.670772,11.607426,10.05706
14,Object-Subject-Inversion,8.113818,13.647824,12.433769,15.48689
14,Object-Topicalized,8.113818,17.987985,10.316088,15.929698
14,Subject,5.715381,12.255569,12.810216,14.786269
15,Object-Subject-Inversion,8.271309,23.613268,9.744597,15.394421
15,Object-Topicalized,8.271309,15.068248,17.93552,16.312789
15,Subject,8.419746,24.911402,11.100069,15.039889
16,Object-Subject-Inversion,8.898377,18.537775,17.700546,15.113969
16,Object-Topicalized,8.898377,22.317479,15.934204,14.848411
16,Subject,9.451112,19.090124,19.69514,15.273695
17,Object-Subject-Inversion,7.763254,25.166882,19.447562,12.118138
17,Object-Topicalized,7.763254,25.230551,16.978564,13.050511
17,Subject,9.896067,25.270238,20.714832,11.973027
18,Object-Subject-Inversion,6.143741,17.202613,10.711459,14.124837
18,Object-Topicalized,6.143741,13.203109,16.020703,13.647347
18,Subject,6.507022,17.938501,13.142446,13.745586
19,Object-Subject-Inversion,8.085,17.156703,22.089016,17.325221
19,Object-Topicalized,8.085,24.94348,14.916378,18.623275
19,Subject,10.156289,19.22466,21.011588,16.748843
20,Object-Subject-Inversion,6.845742,17.057234,14.029486,9.141239
20,Object-Topicalized,6.845742,17.94989,12.868971,11.194124
20,Subject,7.49418,19.197052,12.439147,9.166659
