Item,Type,Region1_Surprisal,Region2_Surprisal,Region3_Surprisal
1,fullNP_OSV,41.166585,23.058815,11.632267
1,fullNP_OVS,38.982743,9.72661,11.041309
1,proNP_OSV,32.123103,22.599556,11.122717
1,proNP_OVS,32.310057,11.477295,9.94453
2,fullNP_OSV,28.037196,11.909707,15.471275
2,fullNP_OVS,27.451313,11.163425,15.734932
2,proNP_OSV,16.419532,8.502018,18.803905
2,proNP_OVS,20.49289,7.589173,18.006977
3,fullNP_OSV,45.723127,25.314851,19.194927
3,fullNP_OVS,45.68497,14.950499,18.894866
3,proNP_OSV,25.074516,14.255053,18.56814
3,proNP_OVS,23.949952,8.14537,18.913638
4,fullNP_OSV,28.736146,18.487987,18.63011
4,fullNP_OVS,37.918048,5.993048,18.820138
4,proNP_OSV,28.485292,20.740503,18.906067
4,proNP_OVS,32.77613,8.917437,17.145899
5,fullNP_OSV,47.727308,28.560387,18.594505
5,fullNP_OVS,34.084096,10.675494,17.599167
5,proNP_OSV,37.566639,28.340196,19.447814
5,proNP_OVS,38.364962,7.300547,19.339771
6,fullNP_OSV,45.802533,14.922978,9.165585
6,fullNP_OVS,40.393137,19.287058,8.424793
6,proNP_OSV,25.631182,14.983069,8.985438
6,proNP_OVS,27.452142,8.963017,7.848884
7,fullNP_OSV,32.40523,11.594773,14.223664
7,fullNP_OVS,32.599742,13.351843,15.412727
7,proNP_OSV,18.633738,10.999665,15.572695
7,proNP_OVS,23.032856,8.649893,13.603199
8,fullNP_OSV,34.372371,11.608771,19.47797
8,fullNP_OVS,31.743582,16.64042,17.067046
8,proNP_OSV,15.713448,7.433703,17.367631
8,proNP_OVS,18.741376,7.368323,15.98127
9,fullNP_OSV,39.052427,20.895716,17.284002
9,fullNP_OVS,39.80056,12.460979,17.046423
9,proNP_OSV,24.046245,16.267075,7.332223
9,proNP_OVS,28.493163,8.005118,5.107738
10,fullNP_OSV,46.712696,19.670553,19.292572
10,fullNP_OVS,47.575475,18.32189,18.758712
10,proNP_OSV,27.211945,19.274921,19.41778
10,proNP_OVS,37.070275,12.598158,18.713028
11,fullNP_OSV,30.042645,13.390103,13.626674
11,fullNP_OVS,25.754067,9.551038,13.675342
11,proNP_OSV,20.828302,12.672274,13.557269
11,proNP_OVS,23.582905,7.689256,13.886611
12,fullNP_OSV,35.822028,20.856248,7.520113
12,fullNP_OVS,33.548001,8.700471,6.710066
12,proNP_OSV,25.278132,17.162192,8.530375
12,proNP_OVS,28.072767,9.145931,7.603528
