Country,Text,Translation,Type,Item,Scene,Region1,Region2,Region3,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,Region1_Surprisal,Region2_Surprisal,Region3_Surprisal
reali,La araña que persiguieron los sapos comió la mosca,The spider that the frogs chased ate the fly,fullNP_OVS,1,1,4-6,6,7,8.5351,11.729049,6.586123,25.644645,3.611488,9.72661,11.041309,3.671192,,,,38.982743,9.72661,11.041309
reali,La araña que los sapos persiguieron comió la mosca,The spider that the frogs chased ate the fly,fullNP_OSV,1,1,4-6,6,7,8.5351,11.729049,6.586123,6.339953,11.767817,23.058815,11.632267,4.370788,,,,41.166585,23.058815,11.632267
reali,La araña que nosotros perseguimos comió la mosca,The spider that we chased ate the fly,proNP_OSV,1,1,4-5,5,6,8.5351,11.729049,6.586123,9.523547,22.599556,11.122717,3.752542,,,,,32.123103,22.599556,11.122717
reali,La araña que perseguimos nosotros comió la mosca,The spider that we chased ate the fly,proNP_OVS,1,1,4-5,5,6,8.5351,11.729049,6.586123,20.832762,11.477295,9.94453,3.123841,,,,,32.310057,11.477295,9.94453
reali,El gobernador que llamaron los secretarios defraudó al embajador,The governor that the secretaries called let down the ambassador.,fullNP_OVS,2,2,4-6,6,7,8.497128,13.226743,11.027695,12.616105,3.671783,11.163425,15.734932,3.198574,,,,27.451313,11.163425,15.734932
reali,El gobernador que los secretarios llamaron defraudó al embajador,The governor that the secretaries called let down the ambassador.,fullNP_OSV,2,2,4-6,6,7,8.497128,13.226743,11.027695,5.064517,11.062972,11.909707,15.471275,3.026684,,,,28.037196,11.909707,15.471275
reali,El gobernador que nosotros llamamos defraudó al embajador,The governor that we called let down the ambassador,proNP_OSV,2,2,4-5,5,6,8.499944,13.211423,11.028111,7.917514,8.502018,18.803905,3.331751,,,,,16.419532,8.502018,18.803905
reali,El gobernador que llamamos nosotros defraudó al embajador,The governor that we called let down the ambassador,proNP_OVS,2,2,4-5,5,6,8.499944,13.211423,11.028111,12.903717,7.589173,18.006977,3.300433,,,,,20.49289,7.589173,18.006977
reali,El panadero que felicitaron los carniceros odiaba al alcalde,The baker that the butchers praised hated the mayor.,fullNP_OVS,3,3,4-6,6,7,8.497128,13.807519,6.89417,23.717671,7.0168,14.950499,18.894866,3.883543,,,,45.68497,14.950499,18.894866
reali,El panadero que los carniceros felicitaron odiaba al alcalde,The baker that the butchers praised hated the mayor.,fullNP_OSV,3,3,4-6,6,7,8.497128,13.807519,6.89417,7.224735,13.183541,25.314851,19.194927,3.815071,,,,45.723127,25.314851,19.194927
reali,El panadero que nosotros felicitamos odiaba al alcalde,The baker that we praised hated the mayor,proNP_OSV,3,3,4-5,5,6,8.499944,13.818247,6.893222,10.819463,14.255053,18.56814,2.891616,,,,,25.074516,14.255053,18.56814
reali,El panadero que felicitamos nosotros odiaba al alcalde,The baker that we praised hated the mayor,proNP_OVS,3,3,4-5,5,6,8.499944,13.818247,6.893222,15.804582,8.14537,18.913638,2.984508,,,,,23.949952,8.14537,18.913638
reali,La ardilla que asustaron los niños devoró la nuez,The squirrel that the children scared devoured the nut,fullNP_OVS,4,4,4-6,6,7,8.5351,12.280974,11.720367,22.422658,9.502342,5.993048,18.820138,4.068805,,,,37.918048,5.993048,18.820138
reali,La ardilla que los niños asustaron devoró la nuez,The squirrel that the children scared devoured the nut,fullNP_OSV,4,4,4-6,6,7,8.5351,12.280974,11.720367,4.98307,5.265089,18.487987,18.63011,3.82564,,,,28.736146,18.487987,18.63011
