Country,Text,Translation,Type,Item,Scene,Region1,Region2,Region3,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,Region1_Surprisal,Region2_Surprisal,Region3_Surprisal
reali,La araña que persiguieron los sapos comió la mosca,The spider that the frogs chased ate the fly,fullNP_OVS,1,1,4-6,6,7,8.338463,12.0835,4.202589,15.567457,1.408526,8.151222,14.028131,2.854053,3.014589,,,,25.127205,8.151222,14.028131
reali,La araña que los sapos persiguieron comió la mosca,The spider that the frogs chased ate the fly,fullNP_OSV,1,1,4-6,6,7,8.338463,12.0835,4.202589,6.378366,9.989081,10.056415,14.240884,2.984684,2.897781,,,,26.423862,10.056415,14.240884
reali,La araña que nosotros perseguimos comió la mosca,The spider that we chased ate the fly,proNP_OSV,1,1,4-5,5,6,8.338461,12.083498,4.20259,9.059334,8.737133,15.80656,2.619726,2.567317,,,,,17.796467,8.737133,15.80656
reali,La araña que perseguimos nosotros comió la mosca,The spider that we chased ate the fly,proNP_OVS,1,1,4-5,5,6,8.338461,12.083498,4.20259,15.169744,9.326382,15.058177,2.521224,3.345221,,,,,24.496126,9.326382,15.058177
reali,El gobernador que llamaron los secretarios defraudó al embajador,The governor that the secretaries called let down the ambassador.,fullNP_OVS,2,2,4-6,6,7,8.230893,9.399532,7.124782,11.485531,6.492896,9.515839,14.101905,1.84798,10.483192,,,,27.494266,9.515839,14.101905
reali,El gobernador que los secretarios llamaron defraudó al embajador,The governor that the secretaries called let down the ambassador.,fullNP_OSV,2,2,4-6,6,7,8.230893,9.399532,7.124782,5.380902,9.375507,8.282007,16.800504,2.053933,10.251679,,,,23.038416,8.282007,16.800504
reali,El gobernador que nosotros llamamos defraudó al embajador,The governor that we called let down the ambassador,proNP_OSV,2,2,4-5,5,6,8.230896,9.399528,7.124761,8.547357,6.464219,17.238665,1.902183,10.117522,,,,,15.011576,6.464219,17.238665
reali,El gobernador que llamamos nosotros defraudó al embajador,The governor that we called let down the ambassador,proNP_OVS,2,2,4-5,5,6,8.230896,9.399528,7.124761,11.328654,6.582028,14.445387,2.10006,9.974204,,,,,17.910682,6.582028,14.445387
reali,El panadero que felicitaron los carniceros odiaba al alcalde,The baker that the butchers praised hated the mayor.,fullNP_OVS,3,3,4-6,6,7,8.230895,14.26493,4.415912,17.400486,2.431766,9.291371,16.64911,3.150248,5.45303,,,,29.123623,9.291371,16.64911
reali,El panadero que los carniceros felicitaron odiaba al alcalde,The baker that the butchers praised hated the mayor.,fullNP_OSV,3,3,4-6,6,7,8.230895,14.26493,4.415912,5.892011,9.320714,9.337108,15.944661,3.41135,5.847448,,,,24.549833,9.337108,15.944661
reali,El panadero que nosotros felicitamos odiaba al alcalde,The baker that we praised hated the mayor,proNP_OSV,3,3,4-5,5,6,8.230896,14.264911,4.415909,10.227151,10.530177,13.448664,2.987418,6.443256,,,,,20.757328,10.530177,13.448664
reali,El panadero que felicitamos nosotros odiaba al alcalde,The baker that we praised hated the mayor,proNP_OVS,3,3,4-5,5,6,8.230896,14.264911,4.415909,16.696612,8.655143,13.768078,2.940667,6.575504,,,,,25.351755,8.655143,13.768078
reali,La ardilla que asustaron los niños devoró la nuez,The squirrel that the children scared devoured the nut,fullNP_OVS,4,4,4-6,6,7,8.338463,13.547514,6.400283,18.206352,1.597618,3.565361,13.03054,2.200709,6.438002,,,,23.369331,3.565361,13.03054
reali,La ardilla que los niños asustaron devoró la nuez,The squirrel that the children scared devoured the nut,fullNP_OSV,4,4,4-6,6,7,8.338463,13.547514,6.400283,9.701206,5.830853,11.16836,14.311843,2.178461,6.190987,,,,26.700419,11.16836,14.311843
reali,La ardilla que nosotros asustamos devoró la nuez,The squirrel that we scared off devoured the nut,proNP_OSV,4,4,4-5,5,6,8.338461,13.547518,6.400291,12.111039,10.285902,17.19118,2.00097,5.826229,,,,,22.396941,10.285902,17.19118
reali,La ardilla que asustamos nosotros devoró la nuez,The squirrel that we scared off devoured the nut,proNP_OVS,4,4,4-5,5,6,8.338461,13.547518,6.400291,18.058444,9.535828,15.17087,2.105327,5.745207,,,,,27.594272,9.535828,15.17087
reali,El perro que temían las palomas mordió a la niña pequeña,The dog that the pigeons feared bit the little girl,fullNP_OVS,5,5,4-6,6,7,8.230895,10.474738,3.540055,13.996543,3.989756,7.226613,13.342122,0.918514,1.69071,4.66995,5.767716,,25.212912,7.226613,13.342122
reali,El perro que las palomas temí­an mordió a la niña pequeña,The dog that the pigeons feared bit the little girl,fullNP_OSV,5,5,4-6,6,7,8.230895,10.474738,3.540055,6.80048,8.366827,15.222633,15.021366,0.887309,1.598375,5.34778,6.041592,,30.38994,15.222633,15.021366
reali,El perro que nosotros temíamos mordió a la niña pequeña,The dog that we feared bit the little girl,proNP_OSV,5,5,4-5,5,6,8.230893,10.474756,3.540052,10.954518,10.993689,10.157583,1.021691,1.66247,3.439992,5.168925,,,21.948207,10.993689,10.157583
reali,El perro que temíamos nosotros mordió a la niña pequeña,The dog that we feared bit the little girl,proNP_OVS,5,5,4-5,5,6,8.230893,10.474756,3.540052,12.903501,9.628995,11.95437,0.748735,2.222963,3.308166,6.097266,,,22.532496,9.628995,11.95437
reali,El detective que contactaron los abogados dijo la verdad,The detective that the lawyers contacted told the truth,fullNP_OVS,6,6,4-6,6,7,8.230895,12.01613,5.768157,15.995302,1.880268,4.489163,6.634443,5.59657,2.09002,,,,22.364733,4.489163,6.634443
reali,El detective que los abogados contactaron dijo la verdad,The detective that the lawyers contacted told the truth,fullNP_OSV,6,6,4-6,6,7,8.230895,12.01613,5.768157,6.119864,6.266388,10.64265,4.66921,5.941239,2.430794,,,,23.028902,10.64265,4.66921
reali,El detective que nosotros contactamos dijo la verdad,,proNP_OSV,6,6,4-5,5,6,8.230895,12.01613,5.768157,10.890757,9.607178,4.924386,5.246087,1.486776,,,,,20.497935,9.607178,4.924386
reali,El detective que contactamos nosotros dijo la verdad,,proNP_OVS,6,6,4-5,5,6,8.230895,12.01613,5.768157,15.614799,7.203326,6.987948,5.119278,1.25751,,,,,22.818125,7.203326,6.987948
