id,item,type,cond,region1_rrt,region2_rrt,region3_rrt,region4_rrt
1,7,Subject,sr,425.0,1443.0,770.0,634.0
1,13,Subject,sr,426.0,902.0,536.0,1201.0
1,20,Object-Topicalized,tor,903.0,1766.0,542.0,1441.0
1,12,Object-Subject-Inversion,orsi,396.0,1200.0,996.0,704.0
1,16,Subject,sr,603.0,2115.0,1439.0,855.0
1,5,Object-Topicalized,tor,600.0,1312.0,671.0,984.0
1,3,Object-Subject-Inversion,orsi,565.0,1195.0,750.0,675.0
1,9,Object-Subject-Inversion,orsi,465.0,1459.0,2245.0,462.0
1,6,Object-Subject-Inversion,orsi,537.0,1817.0,1358.0,459.0
1,10,Subject,sr,495.0,1311.0,1719.0,525.0
1,17,Object-Topicalized,tor,531.0,2749.0,2729.0,675.0
1,4,Subject,sr,1401.0,1135.0,1962.0,521.0
1,2,Object-Topicalized,tor,528.0,1305.0,2098.0,1067.0
1,11,Object-Topicalized,tor,500.0,2048.0,879.0,600.0
1,8,Object-Topicalized,tor,429.0,1502.0,3403.0,576.0
1,18,Object-Subject-Inversion,orsi,530.0,1549.0,1159.0,2355.0
1,15,Object-Subject-Inversion,orsi,463.0,1011.0,742.0,495.0
1,19,Subject,sr,542.0,1694.0,425.0,580.0
1,14,Object-Topicalized,tor,363.0,1938.0,900.0,576.0
1,1,Subject,sr,539.0,1209.0,1088.0,426.0
2,3,Object-Subject-Inversion,orsi,423.0,817.0,403.0,438.0
2,15,Object-Subject-Inversion,orsi,432.0,857.0,1173.0,426.0
2,6,Object-Subject-Inversion,orsi,362.0,935.0,399.0,502.0
2,20,Object-Topicalized,tor,442.0,1028.0,495.0,599.0
2,1,Subject,sr,471.0,1347.0,509.0,566.0
2,12,Object-Subject-Inversion,orsi,397.0,826.0,912.0,495.0
2,17,Object-Topicalized,tor,421.0,892.0,466.0,438.0
2,5,Object-Topicalized,tor,389.0,939.0,1299.0,500.0
2,13,Subject,sr,390.0,863.0,716.0,510.0
2,14,Object-Topicalized,tor,431.0,996.0,472.0,771.0
2,7,Subject,sr,489.0,965.0,560.0,563.0
2,18,Object-Subject-Inversion,orsi,461.0,930.0,1271.0,667.0
2,10,Subject,sr,491.0,892.0,682.0,493.0
2,19,Subject,sr,467.0,920.0,810.0,425.0
2,8,Object-Topicalized,tor,406.0,881.0,425.0,463.0
2,2,Object-Topicalized,tor,424.0,823.0,396.0,502.0
2,9,Object-Subject-Inversion,orsi,391.0,785.0,425.0,389.0
2,16,Subject,sr,425.0,894.0,849.0,504.0
2,11,Object-Topicalized,tor,394.0,833.0,426.0,460.0
2,4,Subject,sr,347.0,793.0,389.0,460.0
3,14,Object-Topicalized,tor,389.0,1130.0,1294.0,389.0
3,7,Subject,sr,327.0,719.0,914.0,385.0
3,5,Object-Topicalized,tor,365.0,954.0,706.0,570.0
3,12,Object-Subject-Inversion,orsi,390.0,899.0,529.0,494.0
3,16,Subject,sr,326.0,712.0,1055.0,5000.0
3,17,Object-Topicalized,tor,435.0,884.0,1020.0,388.0
3,20,Object-Topicalized,tor,319.0,1127.0,670.0,1335.0
3,9,Object-Subject-Inversion,orsi,284.0,1123.0,4032.0,542.0
3,10,Subject,sr,326.0,962.0,885.0,389.0
3,1,Subject,sr,355.0,1339.0,2740.0,292.0
3,8,Object-Topicalized,tor,355.0,1023.0,1915.0,740.0
3,13,Subject,sr,536.0,933.0,956.0,879.0
